Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume,Average volume over 3 months,Market cap,PE ratio
GOOGL, Alphabet Inc.  ,310.26, -0.64  , -0.21%  ,12514000,34586000,3753000000000,      29.16 
CLSK, CleanSpark Inc.  ,10.61, +0.26  , +2.56%  ,12393000,30262000,2715000000,      -- 
WBD, Warner Bros. Discovery Inc.  ,29.03, -0.11  , -0.39%  ,12216000,38950000,71992000000,      148.10 
CCC, CCC Intelligent Solutions Holdings Inc.  ,6.34, +1.28  , +25.40%  ,12161000,10384000,4131999999,      -- 
COIN, Coinbase Global Inc.  ,184.37, +22.34  , +13.79%  ,12078000,10419000,49717000000,      38.53 
AG, First Majestic Silver Corp.  ,29.68, +0.17  , +0.59%  ,12063000,25300000,14599000000,      80.98 
MSTR, Strategy Inc  ,135.7, +11.09  , +8.90%  ,11796000,22407000,45290000000,      -- 
CRWV, CoreWeave Inc.  ,100.11, +0.81  , +0.82%  ,11654000,27299000,52183000000,      -- 
SMR, NuScale Power Corporation  ,13.28, -0.15  , -1.12%  ,11542000,26513000,3756000000,      -- 
SMCI, Super Micro Computer Inc.  ,32.53, +1.40  , +4.50%  ,11447000,28259000,19485000000,      23.67 
RIG, Transocean Ltd.  ,6.39, -0.15  , -2.29%  ,11408000,43233000,7040000000,      -- 
SNDK, Sandisk Corporation  ,630.52, -8.00  , -1.25%  ,11193000,15913000,93044000000,      -- 
ABEV, Ambev S.A.  ,3.2, -0.03  , -0.93%  ,11186000,27338000,49973000000,      16.22 
CAVA, CAVA Group Inc.  ,84.76, +16.96  , +25.01%  ,11104000,3547000,9831000000,      60.47 
PBR, Petróleo Brasileiro S.A. - Petrobras  ,16.68, +0.14  , +0.88%  ,10530000,21898000,107524000000,      6.31 
PSLV, Sprott Physical Silver Trust  ,30.1, +1.35  , +4.70%  ,10454000,22186000,19197000000,      -- 
AGNC, AGNC Investment Corp.  ,11.19, -0.12  , -1.08%  ,10321000,20274000,12392000000,      7.79 
ZETA, Zeta Global Holdings Corp.  ,17.06, +0.08  , +0.44%  ,9791000,7902000,4194000000,      -- 
HLN, Haleon plc  ,10.39, -0.69  , -6.27%  ,9654000,8900000,46246000000,      24.53 
LUMN, Lumen Technologies Inc.  ,7.3, -0.15  , -2.08%  ,9651000,13283000,7486000000,      -- 
GLW, Corning Incorporated  ,160.68, +9.09  , +6.00%  ,9296000,8052000,137855000000,      76.23 
UBER, Uber Technologies Inc.  ,72.67, +1.29  , +1.80%  ,9275000,20637000,150986000000,      15.63 
RIVN, Rivian Automotive Inc.  ,15.44, +0.32  , +2.08%  ,9253000,36850000,19155000000,      -- 
BTE, Baytex Energy Corp.  ,3.69, -0.08  , -1.99%  ,9246000,17571000,2844000000,      18.93 
APLD, Applied Digital Corporation  ,30.28, -0.38  , -1.24%  ,8974000,30611000,8465999999,      -- 
FRMI, Fermi Inc.  ,11.42, +1.37  , +13.63%  ,8947000,7187000,7012000000,      -- 
MOS, The Mosaic Company  ,26.83, -1.66  , -5.83%  ,8823000,6957000,8516000000,      7.61 
BBD, Banco Bradesco S.A.  ,4.15, +0.03  , +0.73%  ,8793000,37340000,44097000000,      9.72 
KLAR, Klarna Group plc  ,15.12, +1.10  , +7.88%  ,8776000,4090000,5706000000,      -- 
HL, Hecla Mining Company  ,23.93, +0.29  , +1.23%  ,8774000,26296000,16035000000,      49.02 
ITUB, Itaú Unibanco Holding S.A.  ,9.28, -0.05  , -0.54%  ,8704000,24252000,102327000000,      12.28 
CMCSA, Comcast Corporation  ,31.1, -0.51  , -1.60%  ,8702000,36381000,113343000000,      5.81 
GOOG, Alphabet Inc.  ,310.35, -0.57  , -0.18%  ,8618000,22055000,3754000000000,      29.16 
CSCO, Cisco Systems Inc.  ,79.07, +0.93  , +1.20%  ,8600000,21976000,312433000000,      28.49 
CPNG, Coupang Inc.  ,18.28, -0.31  , -1.64%  ,8522000,22001000,33400000000,      90.23 
COMP, Compass Inc.  ,9.57, +0.14  , +1.54%  ,8350000,18511000,6935000000,      -- 
VZ, Verizon Communications Inc.  ,49.37, -0.49  , -0.99%  ,8189999,30584000,208206000000,      12.13 
U, Unity Software Inc.  ,18.08, -0.22  , -1.18%  ,8170000,14486000,7824000000,      -- 
GGB, Gerdau S.A.  ,4.2, +0.12  , +3.07%  ,8118000,17345000,8286000000,      14.65 
WHR, Whirlpool Corporation  ,71.02, -0.61  , -0.85%  ,8022000,1568000,4014000000,      14.93 
AVGO, Broadcom Inc.  ,332.04, +6.55  , +2.01%  ,7996000,30509000,1574000000000,      69.74 
SAN, Banco Santander S.A.  ,13.15, +0.64  , +5.08%  ,7953000,7855000,193931000000,      11.30 
